date,campaign_type,target_department,delivery_method,success_rate,blocked_count,clicked_count,reported_count,threat_level
2025-01-10,CEO Fraud,Finance,Email,0.05,95,5,3,High
2025-01-15,Invoice Scam,Accounting,Email,0.12,88,12,8,Medium
2025-01-22,IT Support,All Departments,Email,0.08,92,8,5,Medium
2025-02-05,Tax Season,HR,Email,0.15,85,15,12,High
2025-02-12,Credential Harvesting,IT,Email,0.03,97,3,2,Critical
2025-02-18,Banking Trojan,Finance,Email,0.07,93,7,4,High
2025-02-25,Social Media,Marketing,Email,0.20,80,20,15,Low
2025-03-03,Document Sharing,Legal,Email,0.10,90,10,7,Medium
2025-03-10,CEO Impersonation,Executive,Email,0.02,98,2,1,Critical
2025-03-15,Vendor Invoice,Procurement,Email,0.18,82,18,14,Medium
2025-03-22,Security Alert,All Departments,Email,0.06,94,6,4,High
2025-04-01,April Fools,All Departments,Email,0.25,75,25,20,Low
2025-04-08,Software Update,IT,Email,0.09,91,9,6,Medium
2025-04-15,Payroll,HR,Email,0.11,89,11,8,Medium
2025-04-22,Cloud Storage,All Departments,Email,0.14,86,14,10,Medium
2025-05-01,May Day,All Departments,SMS,0.22,78,22,18,Low
2025-05-08,Mother's Day,All Departments,Email,0.16,84,16,12,Low
2025-05-15,Tax Refund,Finance,Email,0.13,87,13,9,Medium
2025-05-22,Graduation,HR,Email,0.19,81,19,15,Low
2025-06-03,Summer Vacation,All Departments,Email,0.21,79,21,17,Low
2025-06-10,Father's Day,All Departments,Email,0.17,83,17,13,Low
2025-06-17,Mid-year Review,HR,Email,0.08,92,8,5,Medium
2025-06-24,Quarterly Bonus,Finance,Email,0.04,96,4,2,High
2025-07-01,Independence Day,All Departments,Email,0.23,77,23,19,Low
2025-07-08,Summer Sale,Marketing,Email,0.26,74,26,22,Low
2025-07-15,Vacation Request,HR,Email,0.12,88,12,9,Medium
2025-07-22,Security Training,All Departments,Email,0.05,95,5,3,High
2025-08-01,Back to School,All Departments,Email,0.18,82,18,14,Low
2025-08-08,System Maintenance,IT,Email,0.07,93,7,4,Medium
2025-08-15,Employee Survey,HR,Email,0.14,86,14,11,Medium
2025-08-22,Expense Report,Finance,Email,0.09,91,9,6,Medium
2025-09-02,Labor Day,All Departments,Email,0.20,80,20,16,Low
2025-09-09,Fall Campaign,Marketing,Email,0.24,76,24,20,Low
2025-09-16,Performance Review,HR,Email,0.06,94,6,4,High
2025-09-23,Quarterly Report,Executive,Email,0.03,97,3,2,Critical
2025-10-01,October Promotion,Sales,Email,0.22,78,22,18,Low
2025-10-08,Halloween,All Departments,Email,0.28,72,28,24,Low
2025-10-15,Open Enrollment,HR,Email,0.11,89,11,8,Medium
2025-10-22,Cybersecurity Month,IT,Email,0.04,96,4,2,High
2025-11-01,Holiday Planning,All Departments,Email,0.19,81,19,15,Low
2025-11-08,Black Friday,Marketing,Email,0.30,70,30,26,Low
2025-11-15,Thanksgiving,All Departments,Email,0.25,75,25,21,Low
2025-11-22,Year-end Bonus,Finance,Email,0.05,95,5,3,High
2025-12-01,Holiday Party,HR,Email,0.27,73,27,23,Low
2025-12-08,Gift Cards,All Departments,Email,0.32,68,32,28,Low
2025-12-15,Year-end Review,Executive,Email,0.08,92,8,5,Medium
2025-12-22,Holiday Wishes,All Departments,Email,0.29,71,29,25,Low 
